nm, A
800.000000, 0.000243
799.000000, -0.000925
798.000000, -0.001644
797.000000, -0.001608
796.000000, -0.001231
795.000000, -0.001517
794.000000, 0.000212
793.000000, -0.001435
792.000000, -0.000389
791.000000, -0.001195
790.000000, 0.000460
789.000000, -0.001060
788.000000, 0.001158
787.000000, -0.001463
786.000000, -0.000469
785.000000, -0.000734
784.000000, -0.000824
783.000000, -0.000884
782.000000, 0.000095
781.000000, 0.000257
780.000000, -0.001033
779.000000, 0.000356
778.000000, -0.000323
777.000000, -0.000540
776.000000, -0.001652
775.000000, -0.000781
774.000000, -0.000634
773.000000, -0.000803
772.000000, -0.000333
771.000000, -0.000045
770.000000, 0.000480
769.000000, -0.000392
768.000000, -0.001205
767.000000, -0.001560
766.000000, -0.000800
765.000000, -0.000337
764.000000, -0.000755
763.000000, -0.001187
762.000000, -0.000118
761.000000, -0.001076
760.000000, -0.001112
759.000000, -0.000819
758.000000, 0.000025
757.000000, -0.000489
756.000000, -0.000555
755.000000, -0.000907
754.000000, -0.001008
753.000000, -0.001506
752.000000, -0.000496
751.000000, -0.000855
750.000000, -0.000377
749.000000, -0.000384
748.000000, -0.001276
747.000000, 0.000230
746.000000, -0.000432
745.000000, -0.000883
744.000000, -0.000418
743.000000, -0.000312
742.000000, -0.000174
741.000000, 0.000184
740.000000, -0.000472
739.000000, -0.000718
738.000000, 0.001114
737.000000, -0.001002
736.000000, -0.001979
735.000000, -0.001253
734.000000, -0.000260
733.000000, -0.000285
732.000000, -0.000369
731.000000, 0.000470
730.000000, 0.000548
729.000000, 0.000156
728.000000, -0.000166
727.000000, -0.000003
726.000000, 0.000297
725.000000, 0.000216
724.000000, 0.000113
723.000000, -0.001021
722.000000, -0.001426
721.000000, -0.000978
720.000000, -0.001314
719.000000, -0.001334
718.000000, -0.001342
717.000000, -0.000792
716.000000, -0.000668
715.000000, -0.000497
714.000000, -0.000917
713.000000, -0.001173
712.000000, -0.000471
711.000000, -0.000575
710.000000, -0.001543
709.000000, -0.000425
708.000000, 0.000242
707.000000, 0.000131
706.000000, 0.000487
705.000000, 0.000387
704.000000, -0.000975
703.000000, -0.001298
702.000000, -0.000170
701.000000, 0.000048
700.000000, -0.000301
699.000000, 0.000262
698.000000, 0.000728
697.000000, 0.000970
696.000000, 0.000130
695.000000, -0.000569
694.000000, -0.000730
693.000000, -0.000842
692.000000, 0.000108
691.000000, 0.000399
690.000000, 0.000320
689.000000, -0.000485
688.000000, -0.000753
687.000000, 0.000037
686.000000, -0.000417
685.000000, -0.000876
684.000000, -0.000441
683.000000, -0.000671
682.000000, -0.001004
681.000000, -0.000307
680.000000, -0.000077
679.000000, -0.000394
678.000000, -0.001168
677.000000, -0.001495
676.000000, -0.000894
675.000000, -0.001274
674.000000, -0.001397
673.000000, -0.000647
672.000000, -0.000550
671.000000, 0.000453
670.000000, 0.000392
669.000000, -0.000752
668.000000, 0.000145
667.000000, 0.000722
666.000000, 0.000462
665.000000, 0.000512
664.000000, 0.000713
663.000000, 0.000984
662.000000, 0.000037
661.000000, -0.000448
660.000000, -0.000053
659.000000, 0.000190
658.000000, 0.000569
657.000000, 0.000029
656.000000, -0.000278
655.000000, -0.000109
654.000000, -0.000077
653.000000, 0.000577
652.000000, 0.000025
651.000000, -0.000477
650.000000, -0.000024
649.000000, -0.000375
648.000000, -0.000247
647.000000, 0.000761
646.000000, 0.000882
645.000000, 0.000942
644.000000, 0.000132
643.000000, 0.000288
642.000000, 0.000545
641.000000, 0.001108
640.000000, 0.001066
639.000000, -0.000091
638.000000, 0.000562
637.000000, 0.001470
636.000000, 0.000139
635.000000, 0.000489
634.000000, 0.000379
633.000000, 0.000812
632.000000, 0.000496
631.000000, 0.000449
630.000000, -0.000229
629.000000, -0.000416
628.000000, -0.000008
627.000000, 0.001036
626.000000, 0.000235
625.000000, 0.000609
624.000000, -0.000145
623.000000, -0.000230
622.000000, 0.001047
621.000000, 0.000899
620.000000, 0.001128
619.000000, -0.000003
618.000000, -0.000476
617.000000, 0.000795
616.000000, 0.000099
615.000000, -0.000251
614.000000, -0.000194
613.000000, -0.000100
612.000000, -0.000005
611.000000, 0.000030
610.000000, 0.000088
