nm, A
800.000000, -0.000410
799.000000, -0.000332
798.000000, -0.000347
797.000000, -0.000561
796.000000, 0.000203
795.000000, -0.000481
794.000000, 0.000046
793.000000, -0.000658
792.000000, -0.001923
791.000000, 0.000024
790.000000, -0.000034
789.000000, -0.000132
788.000000, -0.000276
787.000000, -0.000492
786.000000, -0.001277
785.000000, -0.000233
784.000000, -0.001202
783.000000, -0.000559
782.000000, -0.000287
781.000000, -0.000595
780.000000, -0.001274
779.000000, 0.000320
778.000000, 0.000159
777.000000, -0.000751
776.000000, -0.001220
775.000000, -0.000195
774.000000, -0.000225
773.000000, -0.001019
772.000000, -0.000499
771.000000, -0.001416
770.000000, -0.001702
769.000000, -0.000580
768.000000, -0.001132
767.000000, -0.001127
766.000000, 0.000410
765.000000, -0.000510
764.000000, -0.000703
763.000000, -0.000788
762.000000, 0.000250
761.000000, -0.001121
760.000000, -0.000591
759.000000, -0.000270
758.000000, -0.000794
757.000000, -0.001241
756.000000, -0.001306
755.000000, -0.000493
754.000000, -0.000846
753.000000, -0.001205
752.000000, -0.001047
751.000000, -0.000157
750.000000, -0.000903
749.000000, -0.001077
748.000000, -0.000873
747.000000, -0.000590
746.000000, -0.001771
745.000000, -0.000185
744.000000, 0.000812
743.000000, -0.000741
742.000000, -0.000249
741.000000, -0.000594
740.000000, -0.000601
739.000000, -0.000247
738.000000, -0.000426
737.000000, 0.000028
736.000000, -0.000475
735.000000, -0.000157
734.000000, 0.000413
733.000000, -0.000251
732.000000, -0.000067
731.000000, -0.000605
730.000000, 0.000423
729.000000, 0.000405
728.000000, -0.001310
727.000000, -0.000428
726.000000, -0.000857
725.000000, -0.000143
724.000000, -0.000110
723.000000, -0.000752
722.000000, -0.000367
721.000000, -0.000011
720.000000, -0.001866
719.000000, -0.000807
718.000000, 0.000260
717.000000, -0.000104
716.000000, -0.000426
715.000000, -0.000077
714.000000, -0.000988
713.000000, -0.000386
712.000000, -0.000685
711.000000, -0.001041
710.000000, -0.000271
709.000000, -0.000346
708.000000, -0.000212
707.000000, 0.000331
