nm, A
800.000000, -0.000828
799.000000, 0.001009
798.000000, 0.001376
797.000000, -0.001267
796.000000, 0.000857
795.000000, 0.000554
794.000000, 0.000211
793.000000, -0.000041
792.000000, 0.000523
791.000000, -0.000253
790.000000, -0.000522
789.000000, 0.000059
788.000000, -0.000091
787.000000, -0.000569
786.000000, 0.000510
785.000000, 0.000695
784.000000, 0.000683
783.000000, -0.000581
782.000000, 0.000525
781.000000, -0.000756
780.000000, 0.001170
779.000000, 0.001070
778.000000, 0.000484
777.000000, 0.000221
776.000000, 0.000718
775.000000, 0.000474
774.000000, 0.000207
773.000000, -0.000721
772.000000, 0.001218
771.000000, 0.000211
770.000000, -0.000948
769.000000, -0.000508
768.000000, -0.000152
767.000000, 0.000132
766.000000, 0.000810
765.000000, -0.000120
764.000000, 0.000647
763.000000, 0.001080
762.000000, 0.000114
761.000000, -0.000116
760.000000, 0.000510
759.000000, 0.000970
758.000000, 0.000465
757.000000, 0.000259
756.000000, 0.000565
755.000000, 0.000091
754.000000, 0.000140
753.000000, 0.000280
752.000000, 0.000523
751.000000, -0.000009
750.000000, 0.000926
749.000000, 0.000203
748.000000, 0.000938
747.000000, 0.000935
746.000000, 0.001090
745.000000, 0.000227
744.000000, 0.001196
743.000000, 0.000566
742.000000, 0.001399
741.000000, 0.000684
740.000000, 0.000410
739.000000, 0.000554
738.000000, 0.001343
737.000000, 0.001622
736.000000, 0.001484
735.000000, 0.001040
734.000000, 0.000728
733.000000, 0.001712
732.000000, 0.000655
731.000000, 0.000752
730.000000, 0.001448
729.000000, 0.000572
728.000000, 0.000611
727.000000, 0.000892
726.000000, 0.001219
725.000000, 0.000431
724.000000, 0.001161
723.000000, 0.000962
722.000000, 0.001551
721.000000, 0.002284
720.000000, 0.002208
719.000000, 0.000927
718.000000, 0.001545
717.000000, 0.001788
716.000000, 0.001322
715.000000, 0.000602
714.000000, 0.000955
713.000000, -0.000015
712.000000, 0.001522
711.000000, 0.000936
710.000000, 0.000213
709.000000, 0.001428
708.000000, 0.001458
707.000000, 0.001412
706.000000, 0.001945
705.000000, 0.002019
704.000000, 0.000964
703.000000, 0.000834
702.000000, 0.001457
701.000000, 0.001405
700.000000, 0.001533
699.000000, 0.000883
698.000000, 0.001404
697.000000, 0.001888
696.000000, 0.001560
695.000000, 0.001681
694.000000, 0.001301
693.000000, 0.000504
692.000000, 0.000580
691.000000, 0.000916
690.000000, 0.001205
689.000000, 0.001127
688.000000, 0.000555
687.000000, 0.000682
686.000000, 0.001352
685.000000, 0.001914
684.000000, 0.001930
683.000000, 0.002318
682.000000, 0.002109
681.000000, 0.002225
680.000000, 0.002031
679.000000, 0.001784
678.000000, 0.001782
677.000000, 0.002418
676.000000, 0.002349
675.000000, 0.001533
674.000000, 0.001873
673.000000, 0.002415
672.000000, 0.002356
671.000000, 0.001835
670.000000, 0.002199
669.000000, 0.001858
668.000000, 0.001409
667.000000, 0.002248
666.000000, 0.001832
665.000000, 0.001593
664.000000, 0.002136
663.000000, 0.002251
662.000000, 0.002502
661.000000, 0.002806
660.000000, 0.003254
659.000000, 0.002450
658.000000, 0.002685
657.000000, 0.002427
656.000000, 0.001695
655.000000, 0.002106
654.000000, 0.002820
653.000000, 0.002448
652.000000, 0.002560
651.000000, 0.002094
650.000000, 0.002303
649.000000, 0.002709
648.000000, 0.001793
647.000000, 0.002055
646.000000, 0.002395
645.000000, 0.002654
644.000000, 0.002745
643.000000, 0.002226
642.000000, 0.002718
641.000000, 0.002820
640.000000, 0.003084
639.000000, 0.002950
638.000000, 0.002940
637.000000, 0.003468
636.000000, 0.003398
635.000000, 0.002816
634.000000, 0.003440
633.000000, 0.003364
632.000000, 0.003043
631.000000, 0.003792
630.000000, 0.003670
629.000000, 0.002852
628.000000, 0.003292
627.000000, 0.003269
626.000000, 0.002904
625.000000, 0.003533
624.000000, 0.003777
623.000000, 0.003055
622.000000, 0.003460
621.000000, 0.003483
620.000000, 0.003733
619.000000, 0.003261
618.000000, 0.003311
617.000000, 0.003507
616.000000, 0.004046
615.000000, 0.003878
614.000000, 0.003641
613.000000, 0.003171
612.000000, 0.003099
611.000000, 0.002671
610.000000, 0.003717
609.000000, 0.005059
608.000000, 0.003647
607.000000, 0.004071
606.000000, 0.003968
605.000000, 0.004532
604.000000, 0.004285
603.000000, 0.004124
602.000000, 0.003700
601.000000, 0.004492
600.000000, 0.003468
599.000000, 0.004032
598.000000, 0.004907
597.000000, 0.004129
596.000000, 0.004001
595.000000, 0.003692
594.000000, 0.003881
593.000000, 0.004744
592.000000, 0.004369
591.000000, 0.004026
590.000000, 0.004681
589.000000, 0.004265
588.000000, 0.004424
587.000000, 0.005304
586.000000, 0.005056
585.000000, 0.004184
584.000000, 0.003502
583.000000, 0.004465
582.000000, 0.005208
581.000000, 0.005551
580.000000, 0.005388
579.000000, 0.005537
578.000000, 0.005663
577.000000, 0.005432
576.000000, 0.004548
575.000000, 0.004153
574.000000, 0.004498
573.000000, 0.005369
572.000000, 0.005508
571.000000, 0.004714
570.000000, 0.004486
569.000000, 0.005259
568.000000, 0.005721
567.000000, 0.005695
566.000000, 0.005288
565.000000, 0.004941
564.000000, 0.006287
563.000000, 0.005854
562.000000, 0.005135
561.000000, 0.005160
560.000000, 0.005974
559.000000, 0.005774
558.000000, 0.006569
557.000000, 0.004838
556.000000, 0.006216
555.000000, 0.005276
554.000000, 0.007296
553.000000, 0.006657
552.000000, 0.008685
551.000000, 0.007060
550.000000, 0.006701
549.000000, 0.007226
548.000000, 0.006884
547.000000, 0.006848
546.000000, 0.006355
545.000000, 0.008568
544.000000, 0.007366
543.000000, 0.007937
542.000000, 0.006865
541.000000, 0.007372
540.000000, 0.008874
539.000000, 0.008216
538.000000, 0.008050
537.000000, 0.008425
536.000000, 0.008384
535.000000, 0.009445
534.000000, 0.009244
533.000000, 0.009994
532.000000, 0.010397
531.000000, 0.009971
530.000000, 0.010874
529.000000, 0.011566
528.000000, 0.011918
527.000000, 0.011908
526.000000, 0.013508
525.000000, 0.014816
524.000000, 0.017208
523.000000, 0.017909
522.000000, 0.021525
521.000000, 0.026724
520.000000, 0.033247
519.000000, 0.045582
518.000000, 0.065233
517.000000, 0.095903
516.000000, 0.141966
515.000000, 0.204235
514.000000, 0.278181
513.000000, 0.346356
512.000000, 0.389715
511.000000, 0.400163
510.000000, 0.383948
509.000000, 0.351921
508.000000, 0.315533
507.000000, 0.282810
506.000000, 0.255304
505.000000, 0.233632
504.000000, 0.215922
503.000000, 0.202368
502.000000, 0.191667
501.000000, 0.182509
500.000000, 0.176718
499.000000, 0.170865
498.000000, 0.167940
497.000000, 0.167066
496.000000, 0.165873
495.000000, 0.167595
494.000000, 0.169893
493.000000, 0.173484
492.000000, 0.178657
491.000000, 0.185687
490.000000, 0.194570
489.000000, 0.206962
488.000000, 0.220715
487.000000, 0.234647
486.000000, 0.249419
485.000000, 0.262886
484.000000, 0.275024
483.000000, 0.286178
482.000000, 0.292223
481.000000, 0.295034
480.000000, 0.294069
479.000000, 0.290473
478.000000, 0.284492
477.000000, 0.277173
476.000000, 0.268586
475.000000, 0.259502
474.000000, 0.250704
473.000000, 0.241847
472.000000, 0.232608
471.000000, 0.224238
470.000000, 0.216775
469.000000, 0.209225
468.000000, 0.203704
467.000000, 0.199386
466.000000, 0.194294
465.000000, 0.189646
464.000000, 0.186577
463.000000, 0.182865
462.000000, 0.179830
461.000000, 0.176614
460.000000, 0.175124
459.000000, 0.173825
458.000000, 0.172201
457.000000, 0.169800
456.000000, 0.167861
455.000000, 0.167281
454.000000, 0.167370
453.000000, 0.167136
452.000000, 0.166268
451.000000, 0.166270
450.000000, 0.166880
449.000000, 0.167240
448.000000, 0.168191
447.000000, 0.169457
446.000000, 0.170047
445.000000, 0.171125
444.000000, 0.173256
443.000000, 0.175459
442.000000, 0.178237
441.000000, 0.181863
440.000000, 0.185305
439.000000, 0.189604
438.000000, 0.194726
437.000000, 0.198689
436.000000, 0.204271
435.000000, 0.210124
434.000000, 0.215535
433.000000, 0.220583
432.000000, 0.224656
431.000000, 0.228430
430.000000, 0.232024
429.000000, 0.234606
428.000000, 0.236493
427.000000, 0.238698
426.000000, 0.240192
425.000000, 0.240174
424.000000, 0.240416
423.000000, 0.241372
422.000000, 0.242194
421.000000, 0.242846
420.000000, 0.242279
419.000000, 0.241905
418.000000, 0.241549
417.000000, 0.241779
416.000000, 0.241479
415.000000, 0.240843
414.000000, 0.241128
413.000000, 0.241155
412.000000, 0.240802
411.000000, 0.240367
410.000000, 0.240393
409.000000, 0.241227
408.000000, 0.241294
407.000000, 0.241024
406.000000, 0.241506
405.000000, 0.242384
404.000000, 0.241805
403.000000, 0.241128
402.000000, 0.241691
401.000000, 0.241016
400.000000, 0.239968
399.000000, 0.240352
398.000000, 0.240694
397.000000, 0.240084
396.000000, 0.239830
395.000000, 0.239221
394.000000, 0.238364
393.000000, 0.238550
392.000000, 0.238653
391.000000, 0.239372
390.000000, 0.239705
389.000000, 0.239339
388.000000, 0.239703
387.000000, 0.240353
386.000000, 0.240671
385.000000, 0.240921
384.000000, 0.241884
383.000000, 0.240761
382.000000, 0.241677
381.000000, 0.242555
380.000000, 0.242852
379.000000, 0.244555
378.000000, 0.243366
377.000000, 0.243113
376.000000, 0.243472
375.000000, 0.246029
374.000000, 0.247043
373.000000, 0.247472
372.000000, 0.247599
371.000000, 0.248827
370.000000, 0.249971
369.000000, 0.250874
368.000000, 0.251802
367.000000, 0.253314
366.000000, 0.254181
365.000000, 0.254887
364.000000, 0.256711
363.000000, 0.258229
362.000000, 0.260273
361.000000, 0.261181
360.000000, 0.261683
359.000000, 0.263852
358.000000, 0.265170
357.000000, 0.267208
356.000000, 0.268981
355.000000, 0.271573
354.000000, 0.273960
353.000000, 0.277083
352.000000, 0.279312
351.000000, 0.282592
350.000000, 0.285814
349.000000, 0.290455
348.000000, 0.296870
347.000000, 0.302852
346.000000, 0.307459
345.000000, 0.314796
344.000000, 0.320186
343.000000, 0.325980
342.000000, 0.332027
341.000000, 0.339400
340.000000, 0.345870
339.000000, 0.352173
338.000000, 0.359168
337.000000, 0.366426
336.000000, 0.374873
335.000000, 0.384045
334.000000, 0.393055
333.000000, 0.402015
332.000000, 0.411817
331.000000, 0.420859
330.000000, 0.431892
329.000000, 0.445210
328.000000, 0.459725
327.000000, 0.475389
326.000000, 0.492184
325.000000, 0.509231
324.000000, 0.527462
323.000000, 0.545546
322.000000, 0.562834
321.000000, 0.580087
320.000000, 0.593486
319.000000, 0.606136
318.000000, 0.617646
317.000000, 0.627685
316.000000, 0.633409
315.000000, 0.642660
314.000000, 0.650611
313.000000, 0.657661
312.000000, 0.665509
311.000000, 0.673982
310.000000, 0.681569
309.000000, 0.692337
308.000000, 0.701558
307.000000, 0.710682
306.000000, 0.721791
305.000000, 0.730837
304.000000, 0.740545
303.000000, 0.748454
302.000000, 0.757828
301.000000, 0.765163
300.000000, 0.773343
