Temperature(C)	Doping(%)	Time	Wavelength	Intensity
0	10	1h	440.0000	66
0	10	1h	441.0000	54
0	10	1h	442.0000	72
0	10	1h	443.0000	69
0	10	1h	444.0000	80
0	10	1h	445.0000	69
0	10	1h	446.0000	69
0	10	1h	447.0000	96
0	10	1h	448.0000	90
0	10	1h	449.0000	78
0	10	1h	450.0000	84
0	10	1h	451.0000	87
0	10	1h	452.0000	66
0	10	1h	453.0000	123
0	10	1h	454.0000	125
0	10	1h	455.0000	60
0	10	1h	456.0000	113
0	10	1h	457.0000	123
0	10	1h	458.0000	107
0	10	1h	459.0000	120
0	10	1h	460.0000	120
0	10	1h	461.0000	111
0	10	1h	462.0000	188
0	10	1h	463.0000	102
0	10	1h	464.0000	132
0	10	1h	465.0000	134
0	10	1h	466.0000	105
0	10	1h	467.0000	112
0	10	1h	468.0000	92
0	10	1h	469.0000	105
0	10	1h	470.0000	110
0	10	1h	471.0000	97
0	10	1h	472.0000	174
0	10	1h	473.0000	165
0	10	1h	474.0000	152
0	10	1h	475.0000	189
0	10	1h	476.0000	198
0	10	1h	477.0000	259
0	10	1h	478.0000	317
0	10	1h	479.0000	210
0	10	1h	480.0000	396
0	10	1h	481.0000	401
0	10	1h	482.0000	416
0	10	1h	483.0000	481
0	10	1h	484.0000	547
0	10	1h	485.0000	701
0	10	1h	486.0000	756
0	10	1h	487.0000	784
0	10	1h	488.0000	1061
0	10	1h	489.0000	1067
0	10	1h	490.0000	1213
0	10	1h	491.0000	1501
0	10	1h	492.0000	1562
0	10	1h	493.0000	1833
0	10	1h	494.0000	2322
0	10	1h	495.0000	2622
0	10	1h	496.0000	3252
0	10	1h	497.0000	4336
0	10	1h	498.0000	4948
0	10	1h	499.0000	6493
0	10	1h	500.0000	8306
0	10	1h	501.0000	11293
0	10	1h	502.0000	15214
0	10	1h	503.0000	19533
0	10	1h	504.0000	26580
0	10	1h	505.0000	35494
0	10	1h	506.0000	45228
0	10	1h	507.0000	56039
0	10	1h	508.0000	65530
0	10	1h	509.0000	71728
0	10	1h	510.0000	70770
0	10	1h	511.0000	63440
0	10	1h	512.0000	51836
0	10	1h	513.0000	39832
0	10	1h	514.0000	29327
0	10	1h	515.0000	22175
0	10	1h	516.0000	16188
0	10	1h	517.0000	12225
0	10	1h	518.0000	9237
0	10	1h	519.0000	7334
0	10	1h	520.0000	6087
0	10	1h	521.0000	5070
0	10	1h	522.0000	3805
0	10	1h	523.0000	3008
0	10	1h	524.0000	2674
0	10	1h	525.0000	2399
0	10	1h	526.0000	1864
0	10	1h	527.0000	1483
0	10	1h	528.0000	1315
0	10	1h	529.0000	1241
0	10	1h	530.0000	1157
0	10	1h	531.0000	1129
0	10	1h	532.0000	1126
0	10	1h	533.0000	1092
0	10	1h	534.0000	988
0	10	1h	535.0000	956
0	10	1h	536.0000	1020
0	10	1h	537.0000	1016
0	10	1h	538.0000	1094
0	10	1h	539.0000	1037
0	10	1h	540.0000	927
0	10	1h	541.0000	1016
0	10	1h	542.0000	1063
0	10	1h	543.0000	1062
0	10	1h	544.0000	1143
0	10	1h	545.0000	1093
0	10	1h	546.0000	1099
0	10	1h	547.0000	1159
0	10	1h	548.0000	1177
0	10	1h	549.0000	1144
0	10	1h	550.0000	1236
0	10	1h	551.0000	1212
0	10	1h	552.0000	1251
0	10	1h	553.0000	1262
0	10	1h	554.0000	1311
0	10	1h	555.0000	1239
0	10	1h	556.0000	1375
0	10	1h	557.0000	1421
0	10	1h	558.0000	1469
0	10	1h	559.0000	1375
0	10	1h	560.0000	1577
0	10	1h	561.0000	1453
0	10	1h	562.0000	1562
0	10	1h	563.0000	1435
0	10	1h	564.0000	1598
0	10	1h	565.0000	1704
0	10	1h	566.0000	1733
0	10	1h	567.0000	1663
0	10	1h	568.0000	1747
0	10	1h	569.0000	1733
0	10	1h	570.0000	1876
0	10	1h	571.0000	1809
0	10	1h	572.0000	2042
0	10	1h	573.0000	1963
0	10	1h	574.0000	1995
0	10	1h	575.0000	2032
0	10	1h	576.0000	2149
0	10	1h	577.0000	1979
0	10	1h	578.0000	2033
0	10	1h	579.0000	2190
0	10	1h	580.0000	2187
0	10	1h	581.0000	2308
0	10	1h	582.0000	2271
0	10	1h	583.0000	2281
0	10	1h	584.0000	2286
0	10	1h	585.0000	2460
0	10	1h	586.0000	2423
0	10	1h	587.0000	2355
0	10	1h	588.0000	2680
0	10	1h	589.0000	2551
0	10	1h	590.0000	2474
0	10	1h	591.0000	2624
0	10	1h	592.0000	2616
0	10	1h	593.0000	2696
0	10	1h	594.0000	2831
0	10	1h	595.0000	2925
0	10	1h	596.0000	2719
0	10	1h	597.0000	2898
0	10	1h	598.0000	2921
